Timestamp,Demand_MW,Wind_MW,Solar_MW,Hydro_MW,Nuclear_MW,Fossil_MW,Fossil_Required_MW,Fossil_Actual_MW,Total_NonRenewable_MW
2024-01-01 00:00:00,2457.119872,688.92,0.0,117.8,343.06,4170.11,1307.3398720000002,1630.0722949572844,1973.1322949572843
2024-01-01 01:00:00,2622.193016,625.23,0.0,130.58,343.06,4283.63,1523.3230160000003,1793.6682749707695,2136.7282749707697
2024-01-01 02:00:00,3213.228194,488.56,0.0,125.13,343.06,4645.44,2256.478194,2482.7995733862285,2825.8595733862285
2024-01-01 03:00:00,3890.171574,621.87,0.0,157.67,343.06,4570.97,2767.571574,3056.5057637108616,3399.5657637108616
2024-01-01 04:00:00,4424.292539,515.62,0.0,171.68,343.06,4604.06,3393.9325390000004,4050.380988313872,4393.440988313872
2024-01-01 05:00:00,4579.005683,481.96,0.0,205.9,343.06,4594.44,3548.0856830000002,3931.810394679737,4274.870394679737
2024-01-01 06:00:00,4934.749367,474.64,0.0,229.4,343.06,4054.59,3887.6493670000004,4419.398840262292,4762.458840262292
2024-01-01 07:00:00,4730.327617,561.57,55.6302334890786,248.58,343.06,3827.18,3521.4873835109215,3877.6810794025573,4220.741079402557
2024-01-01 08:00:00,4393.986282,323.24,108.47093477938952,149.25,343.06,3632.35,3469.9653472206105,4297.607123244887,4640.667123244887
2024-01-01 09:00:00,4457.071914,166.47,155.87245046468337,188.59,343.06,3421.22,3603.0794635353163,4024.9379996666644,4367.997999666664
2024-01-01 10:00:00,4758.538052,131.27,195.45787061700744,239.59,343.06,3329.1,3849.1601813829916,4361.235024443757,4704.295024443757
2024-01-01 11:00:00,4439.2403,416.31,225.24221697560478,181.86,343.06,3571.26,3272.7680830243958,3994.965465952332,4338.0254659523325
2024-01-01 12:00:00,4838.64362,661.12,243.73197804545592,249.96,343.06,3562.62,3340.771641954544,3784.949342683342,4128.009342683342
2024-01-01 13:00:00,4622.245785,691.85,250.0,228.72,343.06,3980.38,3108.6157850000004,3501.3818939403195,3844.4418939403195
2024-01-01 14:00:00,4240.094906,452.59,243.73197804545592,245.27,343.06,4006.93,2955.4429279545443,3576.7338860309014,3919.7938860309014
2024-01-01 15:00:00,2215.640403,257.08,225.24221697560478,88.6,343.06,4161.76,1301.6581860243953,1447.5402333383807,1790.6002333838069
2024-01-01 16:00:00,2174.232413,239.87,195.45787061700747,76.39,343.06,3796.8,1319.4545423829927,1635.0550023353428,1978.1150023353428
2024-01-01 17:00:00,2472.453006,272.92,155.8724504646834,77.82,343.06,3699.11,1622.7805555353168,1866.9323892507036,2209.9923892507036
2024-01-01 18:00:00,3104.845505,468.54,108.47093477938955,112.88,343.06,3643.93,2071.89457022061,2535.4891892231403,2878.5491892231403
2024-01-01 19:00:00,2269.904712,721.26,55.63023348907863,71.83,343.06,3207.56,1078.1244785109216,1245.5724651734572,1588.6324651734571
2024-01-01 20:00:00,4114.486001,689.45,3.061616997868383e-14,140.87,343.06,3241.72,2941.1060010000006,3461.9257076406084,3804.9857076406083
2024-01-01 21:00:00,4575.159503,441.2,0.0,262.59,343.06,3297.76,3528.309503,3908.252504627388,4251.312504627388
2024-01-01 22:00:00,4512.169696,360.07,0.0,251.62,343.06,3242.75,3557.4196960000004,4002.1600818721017,4345.220081872102
2024-01-01 23:00:00,3759.476912,300.79,0.0,149.91,343.06,3674.85,2965.7169120000003,3440.2580389025343,3783.318038902534
2024-01-02 00:00:00,4527.388062,398.93,0.0,154.25,343.06,4077.91,3631.1480619999998,4182.246845578789,4525.30684557879
2024-01-02 01:00:00,2862.462499,486.6,0.0,139.37,343.06,4403.04,1893.4324990000005,2292.598861830412,2635.6588618304118
2024-01-02 02:00:00,3165.911593,419.81,0.0,110.16,343.06,4430.4,2292.881593,2684.4322328503313,3027.492232850331
2024-01-02 03:00:00,3741.73921,259.67,0.0,131.29,343.06,4474.57,3007.71921,3733.090479571431,4076.150479571431
2024-01-02 04:00:00,4280.036924,215.18,0.0,190.97,343.06,4617.39,3530.8269240000004,4275.7846521868505,4618.844652186851
2024-01-02 05:00:00,4710.017294,219.28,0.0,198.84,343.06,4451.85,3948.8372940000004,4930.873464987712,5273.933464987713
2024-01-02 06:00:00,5005.78351,241.68,0.0,169.79,343.06,4122.33,4251.25351,5080.434617744409,5423.494617744409
2024-01-02 07:00:00,5001.795597,216.32,55.6302334890786,177.14,343.06,3852.93,4209.645363510921,4716.110764124346,5059.1707641243465
2024-01-02 08:00:00,4550.175816,141.69,108.47093477938952,232.04,343.06,3566.55,3724.914881220611,4603.077677435029,4946.137677435029
2024-01-02 09:00:00,4559.255349,260.21,155.87245046468337,140.14,343.06,3371.24,3659.9728985353167,4133.266144408314,4476.326144408315
2024-01-02 10:00:00,4642.482585,219.2,195.45787061700744,197.9,343.06,3460.84,3686.864714382992,4269.041874273729,4612.10187427373
2024-01-02 11:00:00,4836.225745,78.42,225.24221697560478,276.22,343.06,3492.67,3913.283528024395,4885.43203249161,5228.49203249161
2024-01-02 12:00:00,4376.871163,71.45,243.73197804545592,221.65,343.06,3848.11,3496.979184954544,4293.877839835685,4636.937839835686
